time_seconds;temperature
0;20.34000
300;20.39000
600;20.51000
900;20.39000
1200;20.49000
1500;20.51000
1800;20.41000
2100;20.61000
2400;20.44000
2700;20.44000
3000;20.49000
3300;20.46000
3600;20.46000
3900;20.61000
4200;20.76000
4500;20.61000
4800;20.54000
5100;20.58000
5400;20.56000
5700;20.71000
6000;20.68000
6300;20.58000
6600;20.54000
6900;20.46000
7200;20.56000
7500;20.51000
7800;20.54000
8100;20.49000
8400;20.46000
8700;20.44000
9000;20.54000
9300;20.46000
9600;20.63000
9900;20.51000
10200;20.41000
10500;20.61000
10800;20.63000
11100;20.61000
11400;20.46000
11700;20.51000
12000;20.58000
12300;20.56000
12600;20.58000
12900;20.51000
13200;20.46000
13500;20.46000
13800;20.49000
14100;20.51000
14400;20.49000
14700;20.46000
15000;20.66000
15300;20.56000
15600;20.51000
15900;20.51000
16200;20.58000
16500;20.51000
16800;20.46000
17100;20.49000
17400;20.39000
17700;20.46000
18000;20.41000
18300;20.51000
18600;20.54000
18900;20.46000
19200;20.44000
19500;20.36000
19800;20.49000
20100;20.44000
20400;20.41000
20700;20.41000
21000;20.39000
21300;20.49000
21600;20.39000
21900;20.36000
22200;20.46000
22500;20.44000
22800;20.44000
23100;20.54000
23400;20.36000
23700;20.41000
24000;20.49000
24300;20.44000
24600;20.58000
24900;20.44000
25200;20.44000
25500;20.46000
25800;20.54000
26100;20.56000
26400;20.56000
26700;20.41000
27000;20.51000
27300;20.39000
27600;20.49000
27900;20.36000
28200;20.54000
28500;20.46000
28800;20.51000
29100;20.51000
29400;20.49000
29700;20.54000
30000;20.54000
30300;20.56000
30600;20.54000
30900;20.44000
31200;20.56000
31500;20.41000
31800;20.44000
32100;20.41000
32400;20.51000
32700;20.66000
33000;20.71000
33300;20.54000
33600;20.63000
33900;20.58000
34200;20.63000
34500;20.54000
34800;20.49000
35100;20.56000
35400;20.54000
35700;20.49000
36000;20.58000
36300;20.51000
36600;20.46000
36900;20.71000
37200;20.58000
37500;20.51000
37800;20.56000
38100;20.61000
38400;20.61000
38700;20.51000
39000;20.63000
39300;20.66000
39600;20.58000
39900;20.66000
40200;20.61000
40500;20.66000
40800;20.54000
41100;20.46000
41400;20.56000
41700;20.71000
42000;20.46000
42300;20.66000
42600;20.61000
42900;20.61000
43200;20.63000
43500;20.61000
43800;20.63000
44100;20.66000
44400;20.63000
44700;20.56000
45000;20.63000
45300;20.54000
45600;20.66000
45900;20.68000
46200;20.71000
46500;20.56000
46800;20.58000
47100;20.68000
47400;20.63000
47700;20.73000
48000;20.68000
48300;20.71000
48600;20.61000
48900;20.61000
49200;20.63000
49500;20.76000
49800;20.66000
50100;20.68000
50400;20.80000
50700;20.71000
51000;20.80000
51300;20.80000
51600;20.78000
51900;20.76000
52200;20.82000
52500;20.80000
52800;20.89000
53100;20.89000
53400;20.82000
53700;20.78000
54000;20.78000
54300;20.73000
54600;20.71000
54900;20.82000
55200;20.78000
55500;20.85000
55800;20.82000
56100;20.80000
56400;20.76000
56700;20.87000
57000;20.85000
57300;20.89000
57600;20.76000
57900;20.94000
58200;20.91000
58500;20.76000
58800;20.94000
59100;20.89000
59400;20.76000
59700;20.78000
60000;20.82000
60300;20.78000
60600;20.85000
60900;20.82000
61200;20.85000
61500;20.76000
61800;20.94000
62100;20.89000
62400;20.87000
62700;20.82000
63000;20.87000
63300;20.85000
63600;20.85000
63900;20.82000
64200;20.82000
64500;20.87000
64800;20.87000
65100;20.89000
65400;20.80000
65700;20.89000
66000;20.80000
66300;20.94000
66600;20.82000
66900;20.82000
67200;20.85000
67500;20.76000
67800;20.87000
68100;20.76000
68400;20.89000
68700;20.85000
69000;20.85000
69300;20.76000
69600;20.89000
69900;20.80000
70200;20.87000
70500;20.82000
70800;20.91000
71100;20.80000
71400;20.89000
71700;20.80000
72000;20.73000
72300;20.80000
72600;20.76000
72900;20.85000
73200;20.80000
73500;20.85000
73800;20.89000
74100;20.91000
74400;20.89000
74700;20.85000
75000;20.82000
75300;20.78000
75600;20.78000
75900;20.82000
76200;20.46000
76500;20.85000
76800;20.85000
77100;20.68000
77400;20.71000
77700;20.71000
78000;20.80000
78300;20.76000
78600;20.80000
78900;20.89000
79200;20.68000
79500;20.78000
79800;20.71000
80100;20.66000
80400;20.80000
80700;20.76000
81000;20.87000
81300;20.71000
81600;20.73000
81900;20.66000
82200;20.87000
82500;20.80000
82800;20.80000
83100;20.66000
83400;20.71000
83700;20.76000
84000;20.71000
84300;20.66000
84600;20.68000
84900;20.87000
85200;20.73000
85500;20.78000
85800;20.78000
86100;20.73000
86400;20.78000
86700;20.56000
87000;20.71000
87300;20.71000
87600;20.63000
87900;20.56000
88200;20.66000
88500;20.58000
88800;20.66000
89100;20.68000
