time_seconds;temperature
0;24.06000
300;24.03000
600;24.22000
900;24.15000
1200;24.15000
1500;24.08000
1800;24.17000
2100;24.08000
2400;24.03000
2700;24.10000
3000;24.03000
3300;24.06000
3600;24.15000
3900;23.98000
4200;24.08000
4500;24.01000
4800;23.98000
5100;23.98000
5400;24.08000
5700;24.06000
6000;23.98000
6300;24.13000
6600;24.03000
6900;24.03000
7200;24.15000
7500;24.10000
7800;23.94000
8100;24.06000
8400;23.98000
8700;24.08000
9000;23.98000
9300;23.98000
9600;23.98000
9900;24.06000
10200;23.91000
10500;23.98000
10800;23.98000
11100;24.01000
11400;23.96000
11700;24.01000
12000;24.01000
12300;24.03000
12600;24.01000
12900;23.91000
13200;24.01000
13500;24.03000
13800;23.84000
14100;24.01000
14400;23.82000
14700;23.89000
15000;23.96000
15300;23.89000
15600;23.91000
15900;23.91000
16200;23.96000
16500;24.10000
16800;23.96000
17100;24.06000
17400;23.98000
17700;23.91000
18000;24.06000
18300;23.82000
18600;23.52000
18900;23.45000
19200;23.57000
19500;23.32000
19800;23.45000
20100;23.45000
20400;23.34000
20700;23.48000
21000;23.43000
21300;23.38000
21600;23.50000
21900;23.36000
22200;23.27000
22500;23.29000
22800;23.34000
23100;23.52000
23400;23.41000
23700;23.50000
24000;23.38000
24300;23.32000
24600;23.34000
24900;23.41000
25200;23.27000
25500;23.29000
25800;23.23000
26100;23.20000
26400;23.18000
26700;23.23000
27000;23.16000
27300;23.27000
27600;23.27000
27900;23.27000
28200;23.23000
28500;23.23000
28800;23.25000
29100;23.25000
29400;23.29000
29700;23.14000
30000;23.16000
30300;23.11000
30600;23.20000
30900;23.23000
31200;23.20000
31500;23.43000
31800;23.27000
32100;23.87000
32400;23.14000
32700;23.25000
33000;23.25000
33300;23.20000
33600;23.34000
33900;23.41000
34200;23.20000
34500;23.34000
34800;23.32000
35100;23.38000
35400;23.45000
35700;23.29000
36000;23.41000
36300;23.38000
36600;23.34000
36900;23.36000
37200;23.38000
37500;23.34000
37800;23.36000
38100;23.36000
38400;23.27000
38700;23.34000
39000;23.43000
39300;23.29000
39600;23.27000
39900;23.38000
40200;23.34000
40500;23.29000
40800;23.27000
41100;23.29000
41400;23.41000
41700;23.27000
42000;23.25000
42300;23.34000
42600;23.38000
42900;23.38000
43200;23.45000
43500;23.32000
43800;23.41000
44100;23.34000
44400;23.41000
44700;23.32000
45000;23.50000
45300;23.54000
45600;23.50000
45900;23.50000
46200;23.48000
46500;23.63000
46800;24.01000
47100;24.03000
47400;23.98000
47700;23.98000
48000;23.96000
48300;24.06000
48600;23.96000
48900;23.96000
49200;24.08000
49500;23.98000
49800;23.98000
50100;24.15000
50400;24.06000
50700;24.10000
51000;24.10000
51300;24.17000
51600;24.03000
51900;24.24000
52200;23.84000
52500;23.94000
52800;23.87000
53100;24.01000
53400;24.08000
53700;24.15000
54000;24.03000
54300;24.13000
54600;24.01000
54900;24.01000
55200;23.06000
55500;23.36000
55800;23.50000
56100;23.52000
56400;23.66000
56700;23.48000
57000;23.54000
57300;23.50000
57600;23.63000
57900;23.57000
58200;23.57000
58500;23.59000
58800;23.57000
59100;23.66000
59400;23.63000
59700;23.73000
60000;23.80000
60300;23.73000
60600;23.61000
60900;23.68000
61200;23.54000
61500;23.63000
61800;23.73000
62100;23.14000
62400;23.63000
62700;23.59000
63000;23.59000
63300;23.38000
63600;23.45000
63900;23.66000
64200;23.32000
64500;23.52000
64800;23.48000
65100;23.63000
65400;23.66000
65700;23.54000
66000;23.52000
66300;23.36000
66600;23.43000
66900;23.52000
67200;23.68000
67500;23.61000
67800;23.52000
68100;23.57000
68400;23.45000
68700;23.52000
69000;23.54000
69300;23.48000
69600;23.50000
69900;23.45000
70200;23.48000
70500;23.43000
70800;23.41000
71100;23.43000
71400;23.50000
71700;23.54000
72000;23.50000
72300;23.45000
72600;23.68000
72900;23.68000
73200;23.68000
73500;23.80000
73800;23.68000
74100;23.70000
74400;23.54000
74700;23.68000
75000;23.61000
75300;23.54000
75600;24.20000
75900;24.34000
76200;24.34000
76500;24.47000
76800;24.50000
77100;24.41000
77400;24.59000
77700;24.36000
78000;24.36000
78300;24.38000
78600;24.38000
78900;24.34000
79200;24.38000
79500;24.32000
79800;24.45000
80100;24.29000
80400;24.34000
80700;24.29000
81000;24.32000
81300;24.34000
81600;24.22000
81900;24.29000
82200;24.24000
82500;24.22000
82800;24.38000
83100;24.27000
83400;24.29000
83700;24.34000
84000;24.24000
84300;24.17000
84600;24.22000
84900;24.27000
85200;24.29000
85500;24.15000
85800;24.38000
86100;24.13000
