time_seconds;temperature
0;21.42000
300;21.30000
600;21.39000
900;21.37000
1200;21.42000
1500;21.32000
1800;21.32000
2100;21.42000
2400;21.44000
2700;21.32000
3000;21.35000
3300;21.23000
3600;21.37000
3900;21.25000
4200;21.23000
4500;21.28000
4800;21.19000
5100;21.32000
5400;21.19000
5700;21.16000
6000;21.25000
6300;21.25000
6600;21.16000
6900;21.30000
7200;21.16000
7500;21.25000
7800;21.30000
8100;21.25000
8400;21.21000
8700;21.28000
9000;21.25000
9300;21.12000
9600;21.19000
9900;21.12000
10200;21.07000
10500;21.28000
10800;21.14000
11100;21.12000
11400;21.16000
11700;21.16000
12000;21.19000
12300;21.23000
12600;21.16000
12900;21.10000
13200;21.10000
13500;21.19000
13800;21.07000
14100;21.14000
14400;21.21000
14700;21.16000
15000;21.00000
15300;21.05000
15600;21.14000
15900;21.00000
16200;21.10000
16500;21.21000
16800;21.10000
17100;21.07000
17400;21.03000
17700;21.00000
18000;21.03000
18300;21.12000
18600;21.05000
18900;21.10000
19200;20.96000
19500;20.96000
19800;21.12000
20100;21.00000
20400;21.10000
20700;21.05000
21000;21.05000
21300;21.00000
21600;21.10000
21900;20.98000
22200;20.91000
22500;20.98000
22800;21.00000
23100;21.03000
23400;21.00000
23700;21.00000
24000;21.00000
24300;21.00000
24600;21.12000
24900;20.96000
25200;20.98000
25500;20.89000
25800;21.00000
26100;20.96000
26400;20.85000
26700;20.96000
27000;20.91000
27300;20.89000
27600;20.94000
27900;20.91000
28200;21.03000
28500;20.91000
28800;21.30000
29100;21.42000
29400;21.10000
29700;21.14000
30000;21.23000
30300;21.21000
30600;21.16000
30900;21.16000
31200;21.10000
31500;21.25000
31800;21.19000
32100;21.19000
32400;21.00000
32700;21.12000
33000;21.10000
33300;21.12000
33600;20.98000
33900;21.03000
34200;21.03000
34500;21.00000
34800;21.12000
35100;21.12000
35400;21.14000
35700;21.12000
36000;21.63000
36300;21.23000
36600;21.16000
36900;21.21000
37200;21.37000
37500;21.19000
37800;21.16000
38100;21.30000
38400;21.32000
38700;21.35000
39000;21.51000
39300;21.61000
39600;21.59000
39900;21.37000
40200;21.42000
40500;21.32000
40800;21.25000
41100;21.35000
41400;21.28000
41700;21.30000
42000;21.25000
42300;21.37000
42600;21.25000
42900;21.39000
43200;21.39000
43500;21.44000
43800;21.39000
44100;21.37000
44400;21.35000
44700;21.56000
45000;21.30000
45300;21.23000
45600;21.23000
45900;21.37000
46200;21.32000
46500;23.18000
46800;21.63000
47100;21.49000
47400;21.49000
47700;21.37000
48000;21.39000
48300;21.28000
48600;21.42000
48900;21.47000
49200;21.32000
49500;21.54000
49800;21.59000
50100;21.63000
50400;21.78000
50700;21.63000
51000;21.54000
51300;21.54000
51600;21.54000
51900;21.85000
52200;21.66000
52500;21.68000
52800;21.66000
53100;21.56000
53400;21.44000
53700;21.54000
54000;21.68000
54300;21.63000
54600;21.54000
54900;21.59000
55200;21.61000
55500;21.61000
55800;21.71000
56100;21.51000
56400;21.75000
56700;21.73000
57000;21.75000
57300;21.87000
57600;21.92000
57900;21.95000
58200;21.90000
58500;22.01000
58800;22.06000
59100;22.08000
59400;22.17000
59700;22.19000
60000;22.35000
60300;22.49000
60600;22.54000
60900;22.66000
61200;22.56000
61500;22.66000
61800;22.66000
62100;22.78000
62400;22.82000
62700;22.92000
63000;23.11000
63300;22.99000
63600;23.20000
63900;23.16000
64200;23.11000
64500;23.27000
64800;23.25000
65100;23.18000
65400;23.32000
65700;23.11000
66000;23.11000
66300;23.14000
66600;23.04000
66900;23.23000
67200;23.09000
67500;23.18000
67800;23.14000
68100;23.06000
68400;22.99000
68700;23.11000
69000;22.94000
69300;23.20000
69600;23.43000
69900;23.54000
70200;23.52000
70500;23.27000
70800;23.27000
71100;23.06000
71400;22.99000
71700;22.90000
72000;22.78000
72300;22.78000
72600;22.78000
72900;22.66000
73200;22.68000
73500;22.51000
73800;22.51000
74100;22.54000
74400;22.47000
74700;22.40000
75000;22.33000
75300;22.33000
75600;22.29000
75900;22.42000
76200;22.24000
76500;22.17000
76800;22.29000
77100;22.08000
77400;22.17000
77700;22.06000
78000;22.10000
78300;22.06000
78600;22.15000
78900;22.04000
79200;22.04000
79500;21.97000
79800;22.06000
80100;21.75000
80400;21.95000
80700;21.97000
81000;22.01000
81300;22.01000
81600;21.97000
81900;21.90000
82200;21.85000
82500;21.85000
82800;21.85000
83100;21.83000
83400;21.85000
83700;21.73000
84000;21.75000
84300;21.75000
84600;21.75000
84900;21.75000
85200;21.68000
85500;21.71000
85800;21.73000
86100;21.68000
86400;21.68000
86700;21.63000
87000;21.71000
87300;21.66000
87600;21.68000
87900;21.56000
88200;21.63000
88500;21.68000
88800;21.56000
89100;21.63000
89400;21.51000
89700;20.87000
90000;21.61000
90300;21.59000
90600;21.61000
90900;21.59000
91200;21.61000
91500;21.54000
91800;21.56000
92100;21.59000
92400;21.73000
92700;21.51000
93000;21.59000
93300;21.54000
93600;21.44000
93900;20.87000
94200;21.49000
94500;21.39000
94800;21.37000
95100;21.51000
95400;21.39000
95700;21.44000
96000;21.47000
96300;21.37000
96600;21.47000
96900;21.37000
97200;21.49000
97500;21.28000
97800;21.37000
98100;21.47000
98400;21.35000
98700;21.28000
99000;21.28000
99300;21.44000
99600;21.30000
99900;21.28000
100200;21.35000
100500;21.42000
100800;21.25000
101100;21.32000
101400;21.32000
101700;21.37000
102000;21.25000
102300;21.37000
102600;21.37000
102900;21.16000
103200;21.23000
103500;21.35000
103800;21.25000
104100;21.30000
104400;21.32000
104700;21.14000
105000;21.28000
105300;21.25000
105600;21.23000
105900;21.25000
106200;21.30000
106500;21.25000
106800;21.25000
107100;21.21000
107400;21.19000
107700;21.21000
108000;21.21000
108300;21.16000
108600;21.28000
108900;21.19000
109200;21.25000
109500;21.28000
109800;21.19000
110100;21.19000
110400;21.10000
110700;21.12000
111000;21.12000
111300;21.12000
111600;21.10000
111900;21.21000
112200;21.07000
112500;21.05000
112800;21.00000
113100;21.07000
113400;21.14000
113700;21.07000
114000;21.12000
114300;21.12000
114600;21.23000
114900;21.14000
115200;21.56000
115500;21.44000
115800;21.47000
116100;21.37000
116400;21.54000
116700;21.32000
117000;21.35000
117300;21.30000
117600;21.28000
117900;21.32000
118200;21.35000
118500;21.32000
118800;21.39000
119100;21.35000
119400;21.25000
119700;21.28000
120000;21.07000
120300;21.21000
120600;21.23000
120900;21.12000
121200;21.23000
121500;21.10000
121800;21.12000
122100;21.10000
122400;21.19000
122700;21.28000
123000;21.10000
123300;21.21000
123600;21.12000
123900;21.16000
124200;21.00000
124500;21.10000
124800;21.05000
125100;21.07000
125400;21.10000
125700;21.12000
126000;21.16000
126300;21.42000
126600;21.44000
126900;21.59000
127200;21.63000
127500;21.68000
127800;21.78000
128100;21.92000
128400;21.92000
128700;21.99000
129000;21.85000
129300;21.99000
129600;21.95000
129900;21.87000
130200;21.92000
130500;21.85000
130800;21.83000
131100;21.75000
131400;21.68000
131700;21.56000
132000;21.44000
132300;21.49000
132600;21.66000
132900;21.63000
133200;21.61000
133500;21.63000
133800;21.75000
134100;21.78000
134400;21.78000
134700;21.68000
135000;21.90000
135300;21.73000
135600;21.78000
135900;22.04000
136200;22.01000
136500;21.90000
136800;21.90000
137100;21.73000
137400;21.83000
137700;22.04000
138000;22.10000
138300;22.04000
138600;22.15000
138900;22.15000
139200;22.31000
139500;22.13000
139800;22.22000
140100;22.22000
140400;22.29000
140700;22.24000
141000;22.38000
141300;22.58000
141600;22.47000
141900;22.47000
142200;22.10000
142500;22.35000
142800;22.40000
143100;22.31000
143400;22.31000
143700;22.44000
144000;22.35000
144300;22.61000
144600;22.54000
144900;22.54000
145200;22.70000
145500;22.63000
145800;22.92000
146100;22.92000
146400;22.87000
146700;22.80000
147000;22.80000
147300;22.80000
147600;22.75000
147900;22.75000
148200;22.75000
148500;22.75000
148800;22.80000
149100;22.68000
149400;22.78000
149700;22.90000
150000;22.82000
150300;22.92000
150600;22.94000
150900;23.06000
151200;23.06000
151500;23.02000
151800;23.14000
152100;23.04000
152400;23.11000
152700;23.09000
153000;23.11000
153300;23.16000
153600;23.11000
153900;23.09000
154200;23.02000
154500;23.06000
154800;23.18000
155100;23.29000
155400;23.38000
